Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_(days),Male_maturity_(days),Gestation/Incubation_(days),Weaning_(days),Litter/Clutch_size,Litters/Clutches_per_year,Inter-litter/Interbirth_interval,Birth_weight_(g),Weaning_weight_(g),Adult_weight_(g),Growth_rate_(1/days),Maximum_longevity_(yrs),Specimen_origin,IMR_(per_yr),MRDT_(yrs),Metabolic_rate_(W),Body_mass_(g),Temperature_(K)
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,captivity,0.05,0.04,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,-1.0,-1.0,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,-1.0,-1.0,-1.0,-1.0,148.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.8,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,-1.0,-1.0,-1.0,-1.0,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,-1.0,6000.0,-1.0,365.0,-1.0,-1.0,21.7667,-1.0,36.0,captivity,-1.0,-1.0,0.00829,21.6,288.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,-1.0,5200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.5,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,-1.0,1750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,wild,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.3,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,-1.0,-1.0,3.0,-1.0,3250.0,-1.0,-1.0,-1.0,-1.0,19.267,-1.0,10.0,captivity,-1.0,-1.0,0.00698,19.2,288.0
Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,-1.0,1095.0,-1.0,-1.0,7750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.4,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,106.25,-1.0,24.8,captivity,-1.0,-1.0,0.0303,105.0,293.0
Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.9,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.7,captivity,-1.0,-1.0,-1.0,-1.0,-1.0
